"拼音"	"寬式IPA"	"調號"	"字甲"	"字乙"	"釋義"
"z"	"tsɿ"	1	"孜"		"～～：勉也"
"z"	"tsɿ"	1	"咨"		"～嗟；又同「諮」：～詢"
"z"	"tsɿ"	1	"諮"	"谘"	"～詢"
"z"	"tsɿ"	1	"姿"		"～色；～式"
"z"	"tsɿ"	1	"次"		"～且：同「趑趄」：行不進也"
"z"	"tsɿ"	1	"𢫴"		"手爪～人"
"z"	"tsɿ"	1	"粢"		"～盛"
"z"	"tsɿ"	1	"資"	"资"	"～財；～质；～格；用也"
"z"	"tsɿ"	1	"趑"		"～趄：行不進也"
"z"	"tsɿ"	1	"茲"	"兹"	"此也"
"z"	"tsɿ"	1	"滋"		"～長；～味"
"z"	"tsɿ"	1	"孳"		"～～爲善"
"z"	"tsɿ"	1	"嵫"		"崦～"
"z"	"tsɿ"	1	"鎡"	"镃"	"～基：田器也"
"z"	"tsɿ"	1	"鶿"		"鸕～"
"z"	"tsɿ"	1	"鷀"	"鹚"	"鸕～"
"z"	"tsɿ"	1	"嗞"		"嗟也"
"z"	"tsɿ"	1	"貲"	"赀"	"～財，同「資」"
"z"	"tsɿ"	1	"頿"	"髭"	"口上鬚也"
"z"	"tsɿ"	1	"齜"	"龇"	"齒不正也"
"z"	"tsɿ"	1	"淄"		"黑色也；水名"
"z"	"tsɿ"	1	"輜"	"辎"	"～重"
"z"	"tsɿ"	1	"錙"	"锱"	"～銖"
"z"	"tsɿ"	1	"緇"	"缁"	"黑帛也"
"z"	"tsɿ"	1	"鯔"	"鲻"	"魚名"
"z"	"tsɿ"	1	"椔"		"木立死也"
"z"	"tsɿ"	1	"菑"		"木立死也；一歲田也"
"z"	"tsɿ"	1	"吱"		"嗶～；～～：小聲也"
"z"	"tsɿ"	1	"耔"		"壅苗本也"
"z"	"tsɿ"	1	"鄑"		"春秋地名"
"z"	"tsɿ"	1	"鼒"		"小鼎"
"z"	"tsɿ"	1	"齊"	"齐"	"～衰：服名"
"z"	"tsɿ"	1	"𪗋"	"𧞓"	"衣下縫也；～䙑"
"z"	"tsɿ"	1	"齍"	"𱌘"	"黍稷器"
"z"	"tsɿ"	1	"餈"		"粉～"
"z"	"tsɿ"	1	"仔"		"任也"
"z"	"tsɿ"	1	"劑"	"剂"	"質～：券書也"
"z"	"tsɿ"	1	"子"		"破讀。後綴也"
"z"	"tsɿ"	1	"䆅"	"𰨳"	"積禾也"
"z"	"tsɿ"	1	"稵"		"禾生皃"
"z"	"tsɿ"	2	"祠"		"～廟"
"z"	"tsɿ"	2	"詞"	"词"	"詩～；文～，通「辭」"
"z"	"tsɿ"	2	"辭"	"辞"	"～別；～讓；～訟；～令；文～"
"z"	"tsɿ"	2	"辤"		"同「辭」：不受也"
"z"	"tsɿ"	2	"慈"		"～愛"
"z"	"tsɿ"	2	"磁"		"～石；俗借作「瓷」"
"z"	"tsɿ"	2	"瓷"	"甆"	"～器"
"z"	"tsɿ"	2	"茨"		"茅～；～菇，即「慈姑」"
"z"	"tsɿ"	2	"粢"		"～粑：稻餅也"
"z"	"tsɿ"	2	"餈"		"～粑：稻餅也"
"z"	"tsɿ"	2	"糍"		"～粑，稻餅也"
"z"	"tsɿ"	2	"茈"		"～菇，同「茨」"
"z"	"tsɿ"	2	"茲"	"兹"	"龜～國"
"z"	"tsɿ"	2	"嗣"		"無～"
"z"	"tsɿ"	3	"子"		"～孫；～時；人之通稱"
"z"	"tsɿ"	3	"仔"		"～肩"
"z"	"tsɿ"	3	"虸"		"～蚄，害蟲名"
"z"	"tsɿ"	3	"籽"		"種子"
"z"	"tsɿ"	3	"耔"		"壅苗本也"
"z"	"tsɿ"	3	"秄"		"壅禾本也"
"z"	"tsɿ"	3	"姊"	"姉"	"～妹"
"z"	"tsɿ"	3	"秭"		"數名；～歸"
"z"	"tsɿ"	3	"胏"		"有骨脯也"
"z"	"tsɿ"	3	"笫"		"床～"
"z"	"tsɿ"	3	"紫"		"～色"
"z"	"tsɿ"	3	"訾"		"苟～；詆毀也"
"z"	"tsɿ"	3	"呰"		"口毀也；弱也"
"z"	"tsɿ"	3	"𥬳"		"～竹"
"z"	"tsɿ"	3	"茈"		"艸名"
"z"	"tsɿ"	3	"訿"		"～～：怠職也"
"z"	"tsɿ"	3	"啙"		"～窳：苟且偷惰也"
"z"	"tsɿ"	3	"梓"		"木名"
"z"	"tsɿ"	3	"鋅"	"锌"	"剛也"
"z"	"tsɿ"	3	"滓"		"渣～"
"z"	"tsɿ"	3	"孜"		"～然"
"z"	"tsɿ"	5	"字"		"名～；文～；閨中待～"
"z"	"tsɿ"	5	"牸"		"～牛"
"z"	"tsɿ"	5	"𦍺"		"～羊"
"z"	"tsɿ"	5	"眥"	"眦"	"目眶也"
"z"	"tsɿ"	5	"胔"		"腐肉也"
"z"	"tsɿ"	5	"骴"		"腐肉也"
"z"	"tsɿ"	5	"柴"		"積也"
"z"	"tsɿ"	5	"孳"		"～乳"
"z"	"tsɿ"	5	"漬"	"渍"	"浸也；染也"
"z"	"tsɿ"	5	"胾"		"切肉也"
"z"	"tsɿ"	5	"積"	"积"	"露～也"
"z"	"tsɿ"	5	"恣"		"放～"
"z"	"tsɿ"	5	"絘"	"𰬒"	"緝～"
"z"	"tsɿ"	5	"剚"	"倳"	"～刃"
"z"	"tsɿ"	5	"自"		"～從"
"z"	"tsɿ"	5	"庤"		"具也"
"z"	"tsɿ"	5	"痔"		"～瘡"
"z"	"tsɿ"	5	"峙"		"屹立也；具也"
"z"	"tsɿ"	5	"畤"		"祭祀地也"
"z"	"tsɿ"	5	"跱"		"具備也"
"z"	"tsɿ"	5	"寺"		"～觀；～人"
"z"	"tsɿ"	5	"巳"		"～時"
"z"	"tsɿ"	5	"祀"		"祭～"
"z"	"tsɿ"	5	"塒"		"雞～"
"z"	"tsɿ"	5	"蒔"		"～竹"
"z"	"tsɿ"	5	"嗣"		"子～"
